azione_scelta;papertrail_id_corretto;wiki_file;wiki_titolo;kB;link_in_uscita;azione_proposta;papertrail_id;papertrail_titolo;confidenza;altri_candidati
;;germani-dual-nature-ai.md;The Dual Nature of AI in Information Dissemination: Ethical Considerations (2024);1;4;link;109;The Dual Nature of AI in Information Dissemination: Ethical Considerations;0.87;116:Social listening in infodemic management | 48:The structural fingerprints of disinform
;;germani-source-framing-bias.md;Source framing triggers systematic bias in large language models (2025);1;6;link;51;Source framing triggers systematic bias in large language models;0.87;111:Emotional Manipulation Through Prompt En | 106:Ethical Considerations in Infodemic Mana
;;gpt3-disinforms.md;AI model GPT-3 (dis)informs us better than humans (2023);1;3;link;92;AI model GPT-3 (dis)informs us better than humans;0.86;92:AI model GPT-3 (dis)informs us better th | 122:AI development tax for AI ethics
;;hestia.md;Hestia;9;13;review;6;Epistemic paternalism;0.33;39:Smoking bans | 91:PHERCC
;;introducing-preference-epidemiology.md;Introducing Preference Epidemiology: Improving Patient-Centered Approaches in Health Decision-Making (2025);1;4;link;59;Introducing Preference Epidemiology: Improving Patient-Centered Approaches in Health Decision-Making;0.91;100:PubliCo for preference epidemiology - PS | 31:Autonomy versus Beneficence: On a Persis
;;mi-fa-male-la-scienza.md;Mi fa male la scienza;9;16;link;84;Mi fa male la scienza;1.00;84:Mi fa male la scienza | 41:MI fa male la scienza ver. International
;;oa-value-extraction.md;OA Value Extraction;3;4;link;21;OA value extraction precis;0.76;14:OA value extraction full paper | 14:The Phenomenon of ‘Value Extraction’ in 
;;patient-derived-taxonomy-harm.md;"""They see me as a suspect"" — Patient-derived taxonomy of healthcare harm";8;13;review;90;Patient narratives – a still undervalued resource for healthcare improvement;0.39;63:Preferences about use of secondary data | 59:Introducing Preference Epidemiology: Imp
;;rasita-emotional-prompting.md;Emotional prompting amplifies disinformation generation in AI large language models (2025);1;1;link;111;Emotional Manipulation Through Prompt Engineering Amplifies Disinformation Generation in AI Large Language Models;0.74;51:Source framing triggers systematic bias  | 118:Critical thinking skills and disinformat
;;redaelli-critical-thinking.md;Mastering critical thinking skills is strongly associated with the ability to recognize fakeness (2025);1;5;link;118;Mastering critical thinking skills is strongly associated with the ability to recognize fakeness and misinformation;0.81;118:Critical thinking skills and disinformat | 136:With private businesses: quick intervent
;;religious-influence-pluriversalism.md;On Religious Influence in Bioethics: The Limits of Pluriversalism (2025);1;5;link;114;On Religious Influence in Bioethics: The Limits of Pluriversalism;0.87;114:Bioethics, religion, pluriversalism | 135:Religion in the context of cancel cultur
;;serious-games-health-governance.md;Playing Democracy: Serious Simulation Games as a Methodological Innovation for Empirical Bioethics;7;5;review;74;"Soliciting Diaries for ""Real-Time"" Insights Into the COVID-19 Pandemic: Methodological Reflections on Using Digital Technologies to Engage the Public";0.38;112:Editorial on community engagement - demo | 126:Albero evolutivo della disinformazione (
;;speak.md;What Makes Intensive Care Acceptable? (SPEAK);4;5;review;129;Does ethics by design enhance acceptability/uptake of innovations/tech/…?;0.37;49:AI literacy commentary (with Claire Ward | 58:Citation metrics /SEO friendly /Scholar 
;;talk2uzh-stt-evaluation.md;Talk2UZH — Evaluation of speech-to-text in health surveys;2;4;review;14;The Phenomenon of ‘Value Extraction’ in Open Access;0.40;78:S.A.R.A.H. and the decline of trust in h | 21:OA value extraction precis
;;wandering-wombs-endometriosis.md;Wandering Wombs / Endometriosis and the Ethics of Attention;8;0;review;110;Women’s Perceptions of the Medicalization of Pregnancy;0.42;38:Who Gets to Persuade with AI? The Ethics | 45:Psychedelics Beyond Medicine: Treatment,
